OPOR,lyield,lLFP,lfleetutil,lfueleff,lpOntime,lmisbagg,ltotaldelay,lcomplaint,lhetero,lavglandfee,lsparsity,lMKTshare,ltdomt_cost,lrevpaxenplaned,lempfte,year,quarter,carriercode,occasion
-0.069205865,-2.3895152,-0.25381359,-0.76874924,4.2114625,-0.30042163,2.6239438,9.4550886,3.6375861,-0.35999456,5.574861,-1.8891153,-3.0955336,18.885435,15.460911,10.443221,2004,4,5,4
0.065933354,-2.2992663,-0.25217992,-0.77053386,4.2228618,-0.26538599,2.6553524,9.3162308,4.4773369,-0.37918422,5.5715971,-1.8722384,-3.1276181,18.781803,15.418889,10.459869,2005,1,5,5
0.034022,-2.2841506,-0.19247082,-0.76256323,4.217844,-0.17643216,2.3331144,8.9952888,3.871201,-0.38551778,5.5845647,-1.8865736,-3.1278627,19.015804,15.528981,10.489384,2005,2,5,6
-0.062364139,-2.2803383,-0.21535087,-0.77958059,4.1954794,-0.20330705,2.5047092,9.1451616,3.713572,-0.38372797,5.5863776,-1.8838365,-3.1584628,19.155912,15.541188,10.478865,2005,3,5,7
-0.17231445,-2.2392554,-0.25416037,-0.78976238,4.2246947,-0.19156839,2.7369616,9.059866,3.5553482,-0.39499536,5.6008339,-1.8560227,-3.1253381,19.165066,15.470367,10.457517,2005,4,5,8
-0.082962163,-2.1177623,-0.34377065,-1.0453936,4.0194917,-0.29734179,2.70538,10.737027,5.4424176,-0.40721211,6.1966434,-2.4719665,-1.7153369,19.992023,16.691332,12.377679,2004,1,6,1
-0.045461442,-2.1663802,-0.26717311,-1.0182637,4.0401959,-0.26310319,2.5748997,10.61359,5.0172796,-0.43310481,6.1364741,-2.4727829,-1.7583176,20.121201,16.772465,12.377291,2004,2,6,2
-0.081826597,-2.2410219,-0.24910159,-1.0225343,4.0417886,-0.25047684,2.5824869,10.55818,5.5834961,-0.46543759,5.9951863,-2.4565549,-1.7741642,20.236265,16.758532,12.383431,2004,3,6,3
-0.13988313,-2.2047153,-0.28810489,-1.0479141,4.0494685,-0.24537346,2.7265449,10.518403,5.0106354,-0.47262096,6.0595789,-2.4468849,-1.7646873,20.374048,16.726089,12.368259,2004,4,6,4
-0.04656997,-2.152369,-0.27116147,-1.0512464,4.0586658,-0.27212527,2.857619,10.59938,5.572154,-0.4536182,6.1066918,-2.4440749,-1.7493887,20.319885,16.731285,12.339126,2005,1,6,5
0.007891257,-2.1481392,-0.20907708,-1.0539054,4.084115,-0.21463847,2.7612751,10.400194,5.5373344,-0.47663492,6.2795229,-2.4145474,-1.7696784,20.469015,16.841791,12.334616,2005,2,6,6
-0.054203205,-2.1603925,-0.20141034,-1.0546631,4.0799122,-0.30558333,2.9439125,10.721614,5.7104268,-0.48057866,6.2180281,-2.386178,-1.780079,20.621731,16.840538,12.353885,2005,3,6,7
-0.098815225,-2.1142199,-0.22253129,-1.1038426,4.0864558,-0.2620292,2.9058075,10.533615,5.2149358,-0.48628816,6.1217241,-2.3859012,-1.7630882,20.635254,16.778399,12.323629,2005,4,6,8
-0.001844381,-2.0601256,-0.23357771,-1.0629917,4.0865126,-0.27121255,2.9412761,10.548389,5.6312118,-0.49094871,6.2532864,-2.4155905,-1.7242314,20.552948,16.761469,12.31824,2006,1,6,9
0.054980446,-2.0689056,-0.16709951,-1.0378262,4.0900235,-0.26724514,2.7555697,10.547523,5.7071104,-0.48332438,6.2765651,-2.3927381,-1.7430124,20.683121,16.850143,12.30839,2006,2,6,10
-0.010327265,-2.092701,-0.19404376,-1.0546784,4.0932698,-0.27806136,2.9972312,10.578725,5.659482,-0.47237939,6.1958103,-2.3792005,-1.7809176,20.698627,16.797571,12.299299,2006,3,6,11
-0.014153896,-2.0907831,-0.21550886,-1.0823705,4.0962377,-0.30612856,3.0754673,10.643137,5.2832036,-0.45307636,6.1808434,-2.3669746,-1.7677664,20.509766,16.762608,12.296069,2006,4,6,12
-0.005439823,-2.0568798,-0.2277929,-1.0642436,4.0832691,-0.38890573,3.1701057,10.848288,6.0063534,-0.44249183,6.2241311,-2.3826907,-1.7675825,20.48794,16.738552,12.294033,2007,1,6,13
0.04384974,-2.0650804,-0.15047106,-1.0727046,4.0763083,-0.40680453,3.093766,10.874494,6.075346,-0.45301139,6.2230263,-2.3725688,-1.7987705,20.634024,16.826523,12.298383,2007,2,6,14
0.000630225,-2.074713,-0.16509862,-1.0675521,4.0856748,-0.34978616,3.048799,10.755858,6.1675167,-0.46618223,6.2098403,-2.3568766,-1.8199459,20.680862,16.81925,12.297835,2007,3,6,15
-0.063240469,-2.0789239,-0.2143933,-1.0623971,4.0845652,-0.35494065,3.002708,10.757711,5.7004437,-0.46302605,6.1711349,-2.3489759,-1.817763,20.733007,16.77161,12.300332,2007,4,6,16
-0.07881178,-2.0280387,-0.22160929,-1.0743916,4.0830808,-0.45599562,3.0883114,10.933874,5.9558372,-0.46111572,6.2421861,-2.3693097,-1.8511397,20.83703,16.711153,12.299239,2008,1,6,17
